[STORE] ADDR: 80008ffc	 DATA: 80000010	 STRB: 1111	 CYCLE:   21	
[LOAD ] ADDR: 80000146	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000147	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000148	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 80000149	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000014a	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000014b	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000014c	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 8000014d	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 8000014e	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 8000014f	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 80000150	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000151	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000152	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000153	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000154	 DATA: 5b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000155	 DATA: 5b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000156	 DATA: 5b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000157	 DATA: 5b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000158	 DATA: 5f5e5d5c	 CYCLE:   18	
[LOAD ] ADDR: 80000159	 DATA: 5f5e5d5c	 CYCLE:   18	
[LOAD ] ADDR: 8000015a	 DATA: 5f5e5d5c	 CYCLE:   18	
[LOAD ] ADDR: 8000015b	 DATA: 5f5e5d5c	 CYCLE:   18	
[LOAD ] ADDR: 8000015c	 DATA: 63626160	 CYCLE:   18	
[LOAD ] ADDR: 8000015d	 DATA: 63626160	 CYCLE:   18	
[LOAD ] ADDR: 8000015e	 DATA: 63626160	 CYCLE:   18	
[LOAD ] ADDR: 8000015f	 DATA: 63626160	 CYCLE:   18	
[LOAD ] ADDR: 80000160	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000161	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000162	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000163	 DATA: 67666564	 CYCLE:   18	
[LOAD ] ADDR: 80000164	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000165	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000166	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000167	 DATA: 6b6a6968	 CYCLE:   18	
[LOAD ] ADDR: 80000168	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 80000169	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000016a	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000016b	 DATA: 6f6e6d6c	 CYCLE:   18	
[LOAD ] ADDR: 8000016c	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 8000016d	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 8000016e	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 8000016f	 DATA: 73727170	 CYCLE:   18	
[LOAD ] ADDR: 80000170	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000171	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000172	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000173	 DATA: 77767574	 CYCLE:   18	
[LOAD ] ADDR: 80000174	 DATA: 7b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000175	 DATA: 7b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000176	 DATA: 7b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000177	 DATA: 7b7a7978	 CYCLE:   18	
[LOAD ] ADDR: 80000178	 DATA: 7f7e7d7c	 CYCLE:   18	
[LOAD ] ADDR: 80000179	 DATA: 7f7e7d7c	 CYCLE:   18	
[LOAD ] ADDR: 8000017a	 DATA: 7f7e7d7c	 CYCLE:   18	
[LOAD ] ADDR: 8000017b	 DATA: 7f7e7d7c	 CYCLE:   18	
[LOAD ] ADDR: 80008ff0	 DATA: 800000ec	 CYCLE:   18	
[LOAD ] ADDR: 80008fec	 DATA: 00000000	 CYCLE:   19	
[LOAD ] ADDR: 80008fe8	 DATA: 00000000	 CYCLE:   19	
